song,valence,arousal,affectcat,songmark,n,arousalkey.keys_raw,,arousalkey.rt_mean,arousalkey.rt_raw,,arousalkey.rt_std,valencekey.keys_raw,,valencekey.rt_mean,valencekey.rt_raw,,valencekey.rt_std,order,
30MonoWAV/30MonoF1.wav,1,2,2,1,2.0,'4', '4',8.834650039672852,9.584349632263184, 8.08495044708252,1.0602353315468316,'2', '2',3.3180718421936035,2.6850826740264893, 3.951061248779297,0.8951820350446068,10.0, 16.0
30MonoWAV/30MonoF2.wav,1,2,2,2,2.0,'4', '3',6.359503746032715,6.27716588973999, 6.4418416023254395,0.11644331306589804,'2', '2',3.298433303833008,2.8419716358184814, 3.754894733428955,0.6455341130222164,8.0, 29.0
30MonoWAV/30MonoF3.wav,1,2,2,3,2.0,'3', '3',5.730132579803467,5.508175849914551, 5.952089309692383,0.31389421766888675,'2', '2',2.3103983402252197,1.785164475440979, 2.835632085800171,0.7427927707018174,13.0, 22.0
30MonoWAV/30MonoF4.wav,1,2,2,4,2.0,'5', '4',4.934661388397217,4.601351737976074, 5.267971038818359,0.47137102809541503,'3', '2',4.09341287612915,4.285331726074219, 3.901494264602661,0.2714140718800209,9.0, 21.0
30MonoWAV/30MonoH1.wav,2,2,1,5,2.0,'5', '4',5.492997169494629,6.001030445098877, 4.984964370727539,0.7184672113216471,'4', '4',2.1936850547790527,3.1521129608154297, 1.2352571487426758,1.3554217432734907,2.0, 19.0
30MonoWAV/30MonoH2.wav,2,2,1,6,2.0,'3', '3',6.758917331695557,6.566509246826172, 6.951325416564941,0.2721061231325175,'3', '3',2.6351847648620605,2.7680413722991943, 2.502328395843506,0.1878874475011544,11.0, 27.0
30MonoWAV/30MonoH3.wav,2,2,1,7,2.0,'4', '5',4.625829696655273,6.084476947784424, 3.167182445526123,2.0628387252650784,'4', '4',2.159583806991577,2.4843709468841553, 1.8347967863082886,0.4593182938267625,5.0, 20.0
30MonoWAV/30MonoH4.wav,2,2,1,8,2.0,'5', '4',4.435275554656982,4.068055629730225, 4.80249547958374,0.5193273982050507,'4', '4',4.443145275115967,6.11805534362793, 2.768234968185425,2.368680703232268,0.0, 23.0
30MonoWAV/30MonoS1.wav,1,1,3,9,2.0,'3', '2',4.8177490234375,5.351140975952148, 4.284356594085693,0.7543304704817452,'2', '3',3.026592493057251,4.167763710021973, 1.8854211568832397,1.6138598963150186,15.0, 26.0
30MonoWAV/30MonoS2.wav,1,1,3,10,2.0,'1', '1',4.609805583953857,5.201512336730957, 4.018098831176758,0.8367997147251184,'2', '2',3.3092494010925293,4.551945209503174, 2.066553831100464,1.757437097571145,1.0, 31.0
30MonoWAV/30MonoS3.wav,1,1,3,11,2.0,'3', '3',4.093344211578369,5.235454559326172, 2.9512341022491455,1.6151877749242094,'2', '2',3.7937941551208496,3.351550817489624, 4.236037731170654,0.6254266945346397,4.0, 28.0
30MonoWAV/30MonoS4.wav,1,1,3,12,2.0,'1', '1',6.180532455444336,5.243581771850586, 7.117483615875244,1.325048701187855,'2', '1',5.1296467781066895,3.70839524269104, 6.55089807510376,2.00995302834101,3.0, 30.0
30MonoWAV/30MonoT1.wav,2,1,4,13,2.0,'2', '2',4.0514631271362305,4.051681041717529, 4.051245212554932,0.00030817775631165716,'4', '3',3.003861427307129,3.589240550994873, 2.418482542037964,0.8278509272619083,6.0, 24.0
30MonoWAV/30MonoT2.wav,2,1,4,14,2.0,'3', '3',5.543286323547363,3.6011273860931396, 7.485445499420166,2.7466276782192818,'4', '5',1.8101181983947754,1.685506820678711, 1.9347294569015503,0.17622701609837796,12.0, 17.0
30MonoWAV/30MonoT3.wav,2,1,4,15,2.0,'2', '2',4.6428937911987305,4.418110370635986, 4.867677211761475,0.317891761956448,'4', '4',3.268294334411621,4.533910274505615, 2.002678632736206,1.789851058649115,7.0, 25.0
30MonoWAV/30MonoT4.wav,2,1,4,16,2.0,'3', '3',4.187539577484131,4.589926719665527, 3.7851526737213135,0.5690611852101127,'4', '4',2.1263856887817383,3.0184106826782227, 1.2343608140945435,1.2615137600504913,14.0, 18.0

extraInfo
participant,008
session,001
date,2019_May_08_1311
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.990697842447275
