song,valence,arousal,affectcat,songmark,n,arousalkey.keys_raw,,arousalkey.rt_mean,arousalkey.rt_raw,,arousalkey.rt_std,likekey.keys_raw,,likekey.rt_mean,likekey.rt_raw,,likekey.rt_std,valencekey.keys_raw,,valencekey.rt_mean,valencekey.rt_raw,,valencekey.rt_std,order,
30MonoWAV/30MonoF1.wav,1,2,2,1,2.0,'5', '4',3.995656967163086,4.169294834136963, 3.822019338607788,0.24556085782865594,'1', '1',1.9026448726654053,1.968008279800415, 1.8372814655303955,0.09243781685324515,'1', '1',1.9194998741149902,1.6017874479293823, 2.2372121810913086,0.4493131377524585,8.0, 18.0
30MonoWAV/30MonoF2.wav,1,2,2,2,2.0,'5', '3',4.822287559509277,4.000990390777588, 5.643584728240967,1.1614895947589796,'1', '1',2.3183412551879883,2.151649236679077, 2.4850335121154785,0.23573828190210347,'1', '1',2.0270907878875732,1.935279130935669, 2.1189024448394775,0.12984129044532913,7.0, 19.0
30MonoWAV/30MonoF3.wav,1,2,2,3,2.0,'4', '3',4.270330429077148,5.2747392654418945, 3.2659218311309814,1.4204484299670188,'1', '2',1.61061692237854,1.7027243375778198, 1.5185096263885498,0.1302594714762815,'1', '1',3.3459668159484863,4.406770706176758, 2.285162925720215,1.5002032485789616,11.0, 25.0
30MonoWAV/30MonoF4.wav,1,2,2,4,2.0,'4', '4',3.16865873336792,3.2682600021362305, 3.0690574645996094,0.14085746512171257,'1', '1',1.9769046306610107,1.852018117904663, 2.1017911434173584,0.17661620009750742,'2', '2',1.7346961498260498,1.9173775911331177, 1.5520148277282715,0.25835048759663665,14.0, 24.0
30MonoWAV/30MonoH1.wav,2,2,1,5,2.0,'5', '4',2.3357999324798584,2.419070243835449, 2.2525296211242676,0.11776200366210689,'5', '5',1.7618082761764526,2.3020975589752197, 1.2215189933776855,0.7640844313388491,'5', '4',2.243604898452759,2.468799352645874, 2.0184104442596436,0.3184730512911103,15.0, 17.0
30MonoWAV/30MonoH2.wav,2,2,1,6,2.0,'3', '3',2.959723711013794,3.767892599105835, 2.151554822921753,1.1429234022277486,'3', '3',2.00950288772583,2.034882068634033, 1.9841234683990479,0.035891750430091164,'3', '3',1.6264867782592773,1.7676396369934082, 1.485334038734436,0.19962020289586221,9.0, 20.0
30MonoWAV/30MonoH3.wav,2,2,1,7,2.0,'4', '4',2.6519322395324707,3.2669551372528076, 2.036909580230713,0.8697735545387237,'4', '5',1.9178895950317383,2.851642370223999, 0.9841369390487671,1.3205257542867166,'4', '5',2.2522315979003906,1.9693577289581299, 2.5351057052612305,0.40004423048652415,10.0, 31.0
30MonoWAV/30MonoH4.wav,2,2,1,8,2.0,'5', '5',2.978952407836914,3.002854585647583, 2.955049991607666,0.03380295261791572,'5', '5',1.1354796886444092,1.1514545679092407, 1.119504690170288,0.022591975207451785,'5', '5',1.744748830795288,2.0190064907073975, 1.4704912900924683,0.3878588179387252,0.0, 28.0
30MonoWAV/30MonoS1.wav,1,1,3,9,2.0,'1', '1',3.105349540710449,3.092288017272949, 3.11841082572937,0.018471615003941844,'4', '5',2.4202215671539307,2.8532538414001465, 1.9871892929077148,0.612400115184264,'2', '2',1.869006872177124,1.9167723655700684, 1.8212414979934692,0.06755052427609992,4.0, 30.0
30MonoWAV/30MonoS2.wav,1,1,3,10,2.0,'1', '1',2.9974942207336426,3.1053431034088135, 2.8896450996398926,0.15252152115349862,'4', '2',1.978946566581726,2.4878323078155518, 1.4700608253479004,0.7196731169511617,'2', '1',2.571800947189331,3.8398725986480713, 1.3037292957305908,1.793324127553799,2.0, 29.0
