song,valence,arousal,affectcat,songmark,n,arousalkey.keys_raw,,arousalkey.rt_mean,arousalkey.rt_raw,,arousalkey.rt_std,likekey.keys_raw,,likekey.rt_mean,likekey.rt_raw,,likekey.rt_std,valencekey.keys_raw,,valencekey.rt_mean,valencekey.rt_raw,,valencekey.rt_std,order,
30MonoWAV/30MonoF1.wav,1,2,2,1,2.0,'3', '4',2.5026192665100098,2.719815492630005, 2.2854232788085938,0.3071616800878028,'2', '1',1.9681179523468018,2.4494829177856445, 1.4867528676986694,0.6807529468685699,'2', '2',2.494279384613037,2.068948745727539, 2.9196102619171143,0.6015085265921024,3.0, 28.0
30MonoWAV/30MonoF2.wav,1,2,2,2,2.0,'3', '2',4.985321521759033,5.368432998657227, 4.60221004486084,0.5418014465302118,'1', '1',1.7445054054260254,1.7187525033950806, 1.7702583074569702,0.036420103322627795,'1', '1',1.8854880332946777,1.5018589496612549, 2.2691171169281006,0.542533452995149,9.0, 21.0
30MonoWAV/30MonoF3.wav,1,2,2,3,2.0,'2', '2',4.51957893371582,5.003895282745361, 4.035262584686279,0.6849267492765985,'1', '1',1.1699092388153076,1.236517310142517, 1.1033010482788086,0.09419812212818887,'1', '1',1.1280221939086914,1.086336374282837, 1.1697078943252563,0.05895256717988521,14.0, 26.0
30MonoWAV/30MonoF4.wav,1,2,2,4,2.0,'3', '3',3.7856130599975586,3.0531005859375, 4.518125534057617,1.035929075423205,'1', '1',2.9189436435699463,3.6348066329956055, 2.203080654144287,1.0123831484467147,'1', '1',1.4186830520629883,1.4690696001052856, 1.3682963848114014,0.07125742389632735,12.0, 22.0
30MonoWAV/30MonoH1.wav,2,2,1,5,2.0,'3', '3',2.469978094100952,1.8367831707000732, 3.103173017501831,0.8954728482993161,'2', '2',1.5106730461120605,1.4183722734451294, 1.6029739379882812,0.13053308881681416,'2', '2',1.5183145999908447,2.0025458335876465, 1.034083366394043,0.6848063778772514,6.0, 31.0
30MonoWAV/30MonoH2.wav,2,2,1,6,2.0,'3', '4',3.3188204765319824,4.134659767150879, 2.502980947494507,1.1537711580974948,'2', '2',1.943723201751709,2.2022082805633545, 1.6852381229400635,0.36555310412650743,'2', '3',1.8102154731750488,1.6345350742340088, 1.9858958721160889,0.24844960282553477,11.0, 16.0
30MonoWAV/30MonoH3.wav,2,2,1,7,2.0,'3', '4',5.710258483886719,9.517265319824219, 1.9032516479492188,5.383920699429897,'1', '2',1.536731243133545,1.2201730012893677, 1.8532893657684326,0.4476808746033286,'2', '3',2.777006149291992,4.069447040557861, 1.4845651388168335,1.827787521287462,13.0, 19.0
30MonoWAV/30MonoH4.wav,2,2,1,8,2.0,'4', '3',2.569240093231201,2.585761070251465, 2.5527188777923584,0.023364358353713404,'3', '2',1.6363686323165894,1.8531068563461304, 1.4196304082870483,0.3065141359072352,'4', '3',1.5846657752990723,1.71904456615448, 1.4502869844436646,0.19004030852301523,4.0, 24.0
30MonoWAV/30MonoS1.wav,1,1,3,9,2.0,'1', '1',6.660078048706055,2.3192906379699707, 11.00086498260498,6.138800090466582,'1', '1',1.3190077543258667,1.1855524778366089, 1.4524630308151245,0.18873426198135967,'1', '1',1.5355561971664429,1.468548059463501, 1.6025643348693848,0.09476381712886436,15.0, 25.0
30MonoWAV/30MonoS2.wav,1,1,3,10,2.0,'1', '1',4.518951892852783,4.319252967834473, 4.718650817871094,0.2824169281522226,'2', '1',2.5779919624328613,4.085673809051514, 1.0703099966049194,2.1321841995255095,'1', '1',1.8691445589065552,2.5017378330230713, 1.236551284790039,0.8946219877215781,7.0, 17.0
