song,valence,arousal,affectcat,songmark,n,arousalkey.keys_raw,,arousalkey.rt_mean,arousalkey.rt_raw,,arousalkey.rt_std,likekey.keys_raw,,likekey.rt_mean,likekey.rt_raw,,likekey.rt_std,valencekey.keys_raw,,valencekey.rt_mean,valencekey.rt_raw,,valencekey.rt_std,order,
30MonoWAV/30MonoF1.wav,1,2,2,1,2.0,'2', '3',6.477481842041016,4.952667713165283, 8.00229549407959,2.1564124839794157,'1', '1',1.7775410413742065,1.4356398582458496, 2.1194422245025635,0.4835212901715296,'1', '1',2.886348247528076,1.4196909666061401, 4.353005409240723,2.074166533739353,9.0, 16.0
30MonoWAV/30MonoF2.wav,1,2,2,2,2.0,'1', '1',3.170642375946045,4.137167930603027, 2.2041165828704834,1.3668737163634872,'1', '1',1.1698728799819946,1.4376205205917358, 0.9021251797676086,0.3786523867905442,'1', '1',1.828904151916504,2.337806463241577, 1.3200017213821411,0.7196966348926357,2.0, 30.0
30MonoWAV/30MonoF3.wav,1,2,2,3,2.0,'3', '4',5.116931438446045,6.0004191398620605, 4.233443737030029,1.2494402895323609,'2', '3',2.353137969970703,2.4865427017211914, 2.2197329998016357,0.18866294951375456,'2', '3',3.186591625213623,2.0042569637298584, 4.368926048278809,1.6720735449467568,8.0, 26.0
30MonoWAV/30MonoF4.wav,1,2,2,4,2.0,'2', '4',7.061153411865234,9.752213478088379, 4.37009334564209,3.8057336428134105,'1', '1',1.6523939371109009,1.7705286741256714, 1.5342592000961304,0.16706774727366736,'1', '2',3.0698704719543457,3.1023271083831787, 3.0374135971069336,0.04590078401437195,5.0, 31.0
30MonoWAV/30MonoH1.wav,2,2,1,5,2.0,'4', '4',2.794212818145752,3.1195342540740967, 2.4688916206359863,0.4600738182331918,'3', '4',2.611279010772705,2.3032162189483643, 2.919341802597046,0.43566657826050226,'4', '4',2.220418691635132,2.770536422729492, 1.670301079750061,0.7779838719218672,6.0, 21.0
30MonoWAV/30MonoH2.wav,2,2,1,6,2.0,'3', '4',4.853154182434082,5.153313636779785, 4.552994251251221,0.42448990838512324,'3', '4',3.178116798400879,4.886316776275635, 1.4699170589447021,2.4157594073685127,'4', '4',1.7935199737548828,2.2834675312042236, 1.3035722970962524,0.6928905648901311,11.0, 25.0
30MonoWAV/30MonoH3.wav,2,2,1,7,2.0,'4', '5',7.2602152824401855,10.35252857208252, 4.167901992797852,4.37319139331875,'4', '5',1.4518961906433105,1.8846356868743896, 1.019156575202942,0.6119861488381958,'4', '5',1.8620421886444092,1.6033695936203003, 2.1207149028778076,0.36581837639104475,0.0, 23.0
30MonoWAV/30MonoH4.wav,2,2,1,8,2.0,'4', '5',2.978854179382324,3.4368510246276855, 2.520857095718384,0.6477055186574976,'4', '4',1.935131311416626,1.3512424230575562, 2.5190203189849854,0.8257436691300478,'4', '4',1.9118248224258423,1.0537114143371582, 2.7699382305145264,1.2135556197732156,13.0, 19.0
30MonoWAV/30MonoS1.wav,1,1,3,9,2.0,'3', '3',4.12869930267334,5.221681118011475, 3.035717010498047,1.5457100438531808,'2', '3',1.9201669692993164,2.5374512672424316, 1.3028826713562012,0.872971825991108,'2', '3',2.611415386199951,2.268897771835327, 2.9539332389831543,0.48439322417355235,12.0, 28.0
30MonoWAV/30MonoS2.wav,1,1,3,10,2.0,'2', '1',4.752120018005371,3.801666259765625, 5.702574253082275,1.3441449324859582,'2', '2',2.7537364959716797,2.854124069213867, 2.653348684310913,0.14196963616031813,'2', '1',4.161540985107422,3.220135450363159, 5.102946758270264,1.331348643515837,7.0, 17.0
30MonoWAV/30MonoS3.wav,1,1,3,11,2.0,'3', '1',6.66151762008667,6.08712100982666, 7.23591423034668,0.8123194764108388,'3', '2',1.9106965065002441,1.9186210632324219, 1.902772068977356,0.011206931313060758,'3', '1',3.1373534202575684,2.553361415863037, 3.7213451862335205,0.8258892443448175,15.0, 18.0
30MonoWAV/30MonoS4.wav,1,1,3,12,2.0,'1', '2',25.584091186523438,3.7030699253082275, 47.465110778808594,30.94443584607286,'1', '4',2.0701239109039307,2.8039987087249756, 1.3362489938735962,1.0378557764560354,'1', '4',3.966829299926758,2.0516507625579834, 5.882008075714111,2.708471630500188,10.0, 27.0
30MonoWAV/30MonoT1.wav,2,1,4,13,2.0,'2', '4',4.6277570724487305,5.769496440887451, 3.4860177040100098,1.614663299541331,'2', '3',2.5535202026367188,2.45306396484375, 2.6539764404296875,0.1420665739117931,'2', '4',2.777825355529785,3.635192394256592, 1.920458197593689,1.2125001783928087,3.0, 20.0
30MonoWAV/30MonoT2.wav,2,1,4,14,2.0,'5', '2',3.7618494033813477,3.7536396980285645, 3.770059108734131,0.011610276652993001,'5', '3',2.5363833904266357,1.7703737020492554, 3.3023931980133057,1.08330137450618,'5', '4',2.9868927001953125,3.5205459594726562, 2.4532392024993896,0.7546998454620382,4.0, 24.0
30MonoWAV/30MonoT3.wav,2,1,4,15,2.0,'3', '4',5.09283447265625,4.833693504333496, 5.351974964141846,0.36648033479390224,'4', '4',2.478421449661255,3.936622142791748, 1.0202206373214722,2.0622072811806897,'4', '4',2.052762508392334,2.820307493209839, 1.2852176427841187,1.0854724429666731,1.0, 29.0
30MonoWAV/30MonoT4.wav,2,1,4,16,2.0,'5', '4',4.920032501220703,3.236781597137451, 6.603283405303955,2.380476257431309,'5', '5',0.9030448794364929,1.0860908031463623, 0.7199989557266235,0.2588660278476082,'5', '5',1.8354363441467285,1.434240460395813, 2.2366321086883545,0.5673765756751137,14.0, 22.0

extraInfo
participant,072
session,001
date,2019_Aug_26_1014
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,60.32275460896031
