song,valence,arousal,affectcat,songmark,n,arousalkey.keys_raw,,arousalkey.rt_mean,arousalkey.rt_raw,,arousalkey.rt_std,likekey.keys_raw,,likekey.rt_mean,likekey.rt_raw,,likekey.rt_std,valencekey.keys_raw,,valencekey.rt_mean,valencekey.rt_raw,,valencekey.rt_std,order,
30MonoWAV/30MonoF1.wav,1,2,2,1,2.0,'4', '5',3.1351490020751953,3.868067741394043, 2.4022302627563477,1.0365036212621055,'3', '5',0.9192380905151367,1.5534050464630127, 0.28507110476493835,0.8968475309837719,'2', '4',1.710066556930542,1.8686834573745728, 1.5514495372772217,0.22431825612324416,8.0, 22.0
30MonoWAV/30MonoF2.wav,1,2,2,2,2.0,'5', '5',2.6675381660461426,2.435865640640259, 2.8992109298706055,0.3276345960456637,'5', '5',0.9350855946540833,0.9189414978027344, 0.9512296915054321,0.022831200719442363,'4', '2',2.2846295833587646,1.9006608724594116, 2.6685984134674072,0.5430138427744826,15.0, 31.0
30MonoWAV/30MonoF3.wav,1,2,2,3,2.0,'3', '4',3.0523016452789307,3.518906354904175, 2.5856969356536865,0.6598787086191802,'3', '3',1.6428136825561523,1.7849657535552979, 1.5006614923477173,0.2010334710201294,'3', '3',2.4098174571990967,2.56754994392395, 2.252084970474243,0.22306742195312204,9.0, 18.0
30MonoWAV/30MonoF4.wav,1,2,2,4,2.0,'5', '5',2.452395439147949,2.485166549682617, 2.4196243286132812,0.046345348972155254,'4', '5',1.084722876548767,1.2178822755813599, 0.9515634179115295,0.18831587021619672,'4', '3',1.801309585571289,1.9180641174316406, 1.684555172920227,0.1651157581317553,5.0, 28.0
30MonoWAV/30MonoH1.wav,2,2,1,5,2.0,'5', '4',3.2272932529449463,2.7196266651153564, 3.734959840774536,0.7179489736722781,'5', '5',1.2510731220245361,1.4343994855880737, 1.067746877670288,0.25926254539841237,'5', '5',3.243340015411377,3.084831714630127, 3.401848077774048,0.22416442012622698,14.0, 25.0
30MonoWAV/30MonoH2.wav,2,2,1,6,2.0,'4', '4',2.9859848022460938,3.301287889480591, 2.670681953430176,0.4459057336377707,'3', '4',3.0093321800231934,2.64953875541687, 3.3691258430480957,0.508824909318346,'3', '4',2.335763692855835,2.902294874191284, 1.7692326307296753,0.8011959958581509,1.0, 16.0
30MonoWAV/30MonoH3.wav,2,2,1,7,2.0,'4', '4',3.635258197784424,3.269021987915039, 4.001494407653809,0.5179362150294031,'3', '3',1.493138074874878,1.6677372455596924, 1.3185389041900635,0.24692051516155952,'3', '3',1.7687122821807861,1.7518374919891357, 1.785586953163147,0.02386447285768431,3.0, 20.0
30MonoWAV/30MonoH4.wav,2,2,1,8,2.0,'4', '5',3.9189095497131348,3.1017327308654785, 4.736086368560791,1.1556625400712575,'3', '3',1.0855188369750977,1.2523013353347778, 0.9187362194061279,0.2358661554404403,'3', '4',1.2268667221069336,1.435417890548706, 1.0183155536651611,0.29493589085911043,11.0, 23.0
30MonoWAV/30MonoS1.wav,1,1,3,9,2.0,'3', '4',5.376187324523926,5.517383098602295, 5.234991073608398,0.1996813158264699,'4', '5',1.1440210342407227,2.0015904903411865, 0.2864516079425812,1.2127863344207706,'5', '5',1.718369722366333,2.3181021213531494, 1.1186374425888062,0.8481496081480153,0.0, 26.0
30MonoWAV/30MonoS2.wav,1,1,3,10,2.0,'3', '3',3.6279401779174805,3.8352890014648438, 3.4205915927886963,0.29323534981544136,'5', '5',2.168492317199707,2.2019100189208984, 2.1350746154785156,0.04725976699744761,'4', '2',2.3187270164489746,2.618739366531372, 2.0187149047851562,0.42428136577859094,2.0, 19.0
30MonoWAV/30MonoS3.wav,1,1,3,11,2.0,'2', '3',3.9370155334472656,3.4056105613708496, 4.468420505523682,0.7515201186229634,'4', '4',0.8953321576118469,1.1394985914230347, 0.6511657238006592,0.34530348217205437,'3', '2',1.99433434009552,2.1536824703216553, 1.8349862098693848,0.2253522869045946,7.0, 29.0
30MonoWAV/30MonoS4.wav,1,1,3,12,2.0,'2', '3',4.287788391113281,4.535702705383301, 4.03987455368042,0.3506034483724614,'4', '5',0.9517234563827515,1.0346559286117554, 0.8687909841537476,0.1172842269873874,'4', '4',1.3189702033996582,1.4845480918884277, 1.1533921957015991,0.23416257982363006,6.0, 17.0
30MonoWAV/30MonoT1.wav,2,1,4,13,2.0,'3', '4',3.2101383209228516,3.702179431915283, 2.71809720993042,0.6958512124106223,'5', '5',1.3519456386566162,1.585436463356018, 1.1184546947479248,0.33020597527328077,'5', '5',1.1691794395446777,1.1532628536224365, 1.185096025466919,0.0225094516779102,4.0, 27.0
30MonoWAV/30MonoT2.wav,2,1,4,14,2.0,'4', '4',3.1196208000183105,2.586664915084839, 3.6525766849517822,0.7537134406194703,'4', '4',1.5185595750808716,2.1851565837860107, 0.8519625663757324,0.942710530348144,'4', '4',1.7098033428192139,2.0861024856567383, 1.3335040807724,0.5321674356039012,12.0, 21.0
30MonoWAV/30MonoT3.wav,2,1,4,15,2.0,'2', '4',2.884706974029541,3.283346176147461, 2.486067533493042,0.5637611347161711,'4', '3',0.7179651260375977,0.3019419014453888, 1.133988380432129,0.5883457075539146,'3', '4',1.3024375438690186,1.4691416025161743, 1.1357334852218628,0.23575514064144754,10.0, 24.0
30MonoWAV/30MonoT4.wav,2,1,4,16,2.0,'5', '4',2.569565773010254,3.103278875350952, 2.0358529090881348,0.75478413915906,'5', '5',0.5350749492645264,0.6851981282234192, 0.38495177030563354,0.2123062357102295,'4', '4',2.811099052429199,2.472216844558716, 3.1499812602996826,0.4792518144173761,13.0, 30.0

extraInfo
participant,042
session,001
date,2019_May_17_1110
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.68346100778089
