song,valence,arousal,affectcat,songmark,n,arousalkey.keys_raw,,arousalkey.rt_mean,arousalkey.rt_raw,,arousalkey.rt_std,likekey.keys_raw,,likekey.rt_mean,likekey.rt_raw,,likekey.rt_std,valencekey.keys_raw,,valencekey.rt_mean,valencekey.rt_raw,,valencekey.rt_std,order,
30MonoWAV/30MonoF1.wav,1,2,2,1,2.0,'4', '3',3.2773122787475586,2.618032217025757, 3.9365925788879395,0.9323629732765526,'4', '4',1.6528966426849365,1.7695361375808716, 1.536257028579712,0.16495323988389732,'1', '1',1.0697075128555298,1.1360524892807007, 1.0033625364303589,0.09382596545579995,9.0, 29.0
30MonoWAV/30MonoF2.wav,1,2,2,2,2.0,'1', '2',3.1280717849731445,2.586369752883911, 3.669773578643799,0.766082191958284,'3', '2',1.9195154905319214,2.4693992137908936, 1.3696317672729492,0.7776530191610522,'1', '1',0.9441659450531006,0.9194618463516235, 0.9688700437545776,0.034936871429832414,13.0, 18.0
30MonoWAV/30MonoF3.wav,1,2,2,3,2.0,'3', '2',3.834472417831421,4.651678562164307, 3.017266273498535,1.155704012570192,'3', '2',2.6764168739318848,3.966284990310669, 1.386548638343811,1.8241490681492134,'1', '1',1.501715898513794,1.6178959608078003, 1.385535717010498,0.16430350406725347,1.0, 17.0
30MonoWAV/30MonoF4.wav,1,2,2,4,2.0,'4', '2',2.7853503227233887,3.08666729927063, 2.4840333461761475,0.42612655480636435,'2', '4',1.9694969654083252,2.186583995819092, 1.752409815788269,0.3070075069159153,'1', '1',1.1615443229675293,1.4199950695037842, 0.903093695640564,0.36550446666333564,2.0, 28.0
30MonoWAV/30MonoH1.wav,2,2,1,5,2.0,'3', '3',3.743201732635498,4.716721534729004, 2.7696821689605713,1.3767647387720239,'2', '2',2.9098215103149414,4.600019931793213, 1.2196229696273804,2.390301615049867,'2', '4',1.7107349634170532,1.7364492416381836, 1.6850206851959229,0.036365481006957676,0.0, 27.0
30MonoWAV/30MonoH2.wav,2,2,1,6,2.0,'5', '5',3.378556728363037,4.702527046203613, 2.054586410522461,1.8723767796695603,'4', '5',1.6034576892852783,1.686712622642517, 1.5202027559280396,0.11774025588827527,'5', '5',0.9109789133071899,1.052172064781189, 0.7697858214378357,0.1996772275818841,6.0, 25.0
30MonoWAV/30MonoH3.wav,2,2,1,7,2.0,'4', '5',2.643673896789551,2.816687822341919, 2.4706599712371826,0.24467863999556805,'3', '4',1.628932237625122,1.9367034435272217, 1.321161150932312,0.4352541292009828,'4', '5',1.3108102083206177,1.63498854637146, 0.9866318106651306,0.4584574444459216,3.0, 24.0
30MonoWAV/30MonoH4.wav,2,2,1,8,2.0,'4', '4',2.8613922595977783,2.47002911567688, 3.2527554035186768,0.5534710659459081,'2', '2',1.5596401691436768,1.5188554525375366, 1.6004247665405273,0.057678215068311146,'4', '4',1.409928798675537,1.3526906967163086, 1.467166781425476,0.08094681578158187,5.0, 23.0
30MonoWAV/30MonoS1.wav,1,1,3,9,2.0,'1', '1',2.4621968269348145,2.153684616088867, 2.770709276199341,0.43630232132347313,'2', '2',1.428340196609497,1.5370539426803589, 1.3196265697479248,0.15374436981612363,'1', '1',0.902864933013916,1.1868351697921753, 0.6188947558403015,0.4015945180152671,15.0, 16.0
30MonoWAV/30MonoS2.wav,1,1,3,10,2.0,'2', '1',2.603362560272217,3.0370190143585205, 2.169705867767334,0.6132830073668933,'3', '3',2.2359628677368164,1.6691008806228638, 2.8028249740600586,0.8016639944640159,'3', '1',2.0773141384124756,2.1185431480407715, 2.0360851287841797,0.05830662457954698,8.0, 19.0
