song,valence,arousal,affectcat,songmark,n,arousalkey.keys_raw,,arousalkey.rt_mean,arousalkey.rt_raw,,arousalkey.rt_std,valencekey.keys_raw,,valencekey.rt_mean,valencekey.rt_raw,,valencekey.rt_std,order,
30MonoWAV/30MonoF1.wav,1,2,2,1,2.0,'4', '5',3.7940480709075928,3.6860389709472656, 3.90205717086792,0.15274793402360598,'2', '2',3.109645366668701,2.768385648727417, 3.4509048461914062,0.48261395281681657,2.0, 29.0
30MonoWAV/30MonoF2.wav,1,2,2,2,2.0,'3', '2',4.15974235534668,5.418276309967041, 2.90120792388916,1.7798361245059806,'1', '1',1.659449577331543,2.63425874710083, 0.6846404075622559,1.3785883486133828,5.0, 23.0
30MonoWAV/30MonoF3.wav,1,2,2,3,2.0,'4', '4',3.8180766105651855,4.485036373138428, 3.1511168479919434,0.9432235417882185,'1', '1',2.634643077850342,2.56831693649292, 2.7009689807891846,0.09379916006029852,10.0, 28.0
30MonoWAV/30MonoF4.wav,1,2,2,4,2.0,'5', '5',4.300924777984619,4.999647617340088, 3.6022017002105713,0.9881434843437499,'3', '1',1.3177489042282104,1.7998789548873901, 0.8356189131736755,0.6818348143229922,7.0, 31.0
30MonoWAV/30MonoH1.wav,2,2,1,5,2.0,'4', '4',4.029029846191406,4.668526649475098, 3.3895328044891357,0.9043852208854454,'3', '4',1.9348794221878052,3.1671695709228516, 0.7025893330574036,1.7427213989730133,0.0, 25.0
30MonoWAV/30MonoH2.wav,2,2,1,6,2.0,'5', '4',4.1611647605896,3.972155809402466, 4.350173473358154,0.26729885359141803,'4', '4',1.3945000171661377,2.7042415142059326, 0.08475857228040695,1.8522541514380269,12.0, 20.0
30MonoWAV/30MonoH3.wav,2,2,1,7,2.0,'5', '5',3.3137872219085693,2.8844857215881348, 3.743088722229004,0.6071240041002762,'5', '5',0.7351596355438232,0.768916130065918, 0.7014031410217285,0.04773889237131945,15.0, 27.0
30MonoWAV/30MonoH4.wav,2,2,1,8,2.0,'5', '5',3.343207836151123,3.6680543422698975, 3.0183610916137695,0.4594025032301104,'5', '5',0.8690023422241211,0.9017349481582642, 0.836269736289978,0.04629089524387918,8.0, 22.0
30MonoWAV/30MonoS1.wav,1,1,3,9,2.0,'1', '3',3.9885008335113525,4.308691024780273, 3.6683106422424316,0.4528173110313433,'1', '2',1.9775506258010864,2.438007116317749, 1.5170941352844238,0.6511838137713827,4.0, 24.0
30MonoWAV/30MonoS2.wav,1,1,3,10,2.0,'1', '1',3.3974666595458984,4.239832878112793, 2.555100440979004,1.191285730782241,'1', '1',2.3638837337493896,2.490290403366089, 2.2374770641326904,0.1787660265463511,1.0, 21.0
30MonoWAV/30MonoS3.wav,1,1,3,11,2.0,'3', '2',4.468493461608887,3.318176746368408, 5.618810176849365,1.6267934997175544,'1', '1',1.7258718013763428,1.5182816982269287, 1.9334620237350464,0.29357682358204024,11.0, 30.0
30MonoWAV/30MonoS4.wav,1,1,3,12,2.0,'1', '1',4.771063804626465,4.523846626281738, 5.018280506134033,0.34961754929209504,'1', '1',1.4688622951507568,0.9531266689300537, 1.9845978021621704,0.7293602329066075,9.0, 19.0
30MonoWAV/30MonoT1.wav,2,1,4,13,2.0,'3', '2',3.6952295303344727,4.685145854949951, 2.7053134441375732,1.3999529232983532,'3', '2',1.5767920017242432,2.3014698028564453, 0.852114200592041,1.024849174711873,6.0, 18.0
30MonoWAV/30MonoT2.wav,2,1,4,14,2.0,'4', '2',4.252431869506836,4.902886390686035, 3.6019771099090576,0.9198817741459306,'4', '2',1.7188355922698975,1.8027387857437134, 1.634932518005371,0.11865694984341717,13.0, 26.0
30MonoWAV/30MonoT3.wav,2,1,4,15,2.0,'2', '2',4.134829521179199,4.300848484039307, 3.9688103199005127,0.23478643747533368,'5', '3',3.6537551879882812,3.2672126293182373, 4.040297508239746,0.5466535603182059,3.0, 16.0
30MonoWAV/30MonoT4.wav,2,1,4,16,2.0,'5', '5',3.8480136394500732,3.8108303546905518, 3.8851969242095947,0.0525851056004961,'5', '5',1.0266847610473633,1.0352171659469604, 1.0181523561477661,0.012066642728668963,14.0, 17.0

extraInfo
participant,002
session,001
date,2019_May_07_1008
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.93444035298291
