song,valence,arousal,affectcat,songmark,n,arousalkey.keys_raw,,arousalkey.rt_mean,arousalkey.rt_raw,,arousalkey.rt_std,likekey.keys_raw,,likekey.rt_mean,likekey.rt_raw,,likekey.rt_std,valencekey.keys_raw,,valencekey.rt_mean,valencekey.rt_raw,,valencekey.rt_std,order,
30MonoWAV/30MonoF1.wav,1,2,2,1,2.0,'5', '3',6.379523277282715,7.316251277923584, 5.4427947998046875,1.3247337799357815,'2', '3',1.2432767152786255,2.2010128498077393, 0.2855405807495117,1.354443430625856,'4', '3',0.8852581977844238,1.5019662380218506, 0.26855018734931946,0.8721568534548775,4.0, 29.0
30MonoWAV/30MonoF2.wav,1,2,2,2,2.0,'2', '3',3.0942368507385254,3.7689530849456787, 2.419520854949951,0.9541926805816787,'3', '3',2.077608823776245,2.8187661170959473, 1.3364516496658325,1.0481546117707634,'2', '2',1.5096874237060547,2.117847204208374, 0.9015276432037354,0.8600678096762246,7.0, 31.0
30MonoWAV/30MonoF3.wav,1,2,2,3,2.0,'3', '4',5.109829902648926,4.817985534667969, 5.401674270629883,0.4127302633008737,'3', '3',2.2521352767944336,3.151761531829834, 1.3525092601776123,1.2722634823505974,'2', '3',3.642854690551758,5.451253890991211, 1.8344557285308838,2.5574625068587475,0.0, 17.0
30MonoWAV/30MonoF4.wav,1,2,2,4,2.0,'5', '4',3.370093822479248,3.216712474822998, 3.523474931716919,0.21691381348320296,'3', '4',1.6681790351867676,2.367974281311035, 0.9683837294578552,0.9896599701000068,'4', '3',2.5763168334960938,2.5347204208374023, 2.617913246154785,0.058826210927989286,13.0, 22.0
30MonoWAV/30MonoH1.wav,2,2,1,5,2.0,'4', '3',3.8854312896728516,3.8846871852874756, 3.8861753940582275,0.0010523225136200023,'2', '3',1.4601125717163086,1.91830575466156, 1.0019192695617676,0.6479830978017739,'4', '3',2.051302909851074,2.9515492916107178, 1.1510567665100098,1.273140473974412,6.0, 26.0
30MonoWAV/30MonoH2.wav,2,2,1,6,2.0,'3', '3',4.062628269195557,5.225640296936035, 2.899616003036499,1.644747551421022,'3', '3',1.6371662616729736,1.9546247720718384, 1.3197077512741089,0.4489541308968348,'2', '3',2.3621861934661865,3.255706787109375, 1.4686657190322876,1.263628857496162,9.0, 20.0
30MonoWAV/30MonoH3.wav,2,2,1,7,2.0,'3', '3',4.368617057800293,3.702845573425293, 5.034388065338135,0.9415427254696646,'3', '3',1.2271811962127686,1.3198119401931763, 1.1345505714416504,0.13099957013613264,'3', '3',1.5181916952133179,1.9347018003463745, 1.1016815900802612,0.5890342395446124,12.0, 21.0
30MonoWAV/30MonoH4.wav,2,2,1,8,2.0,'4', '3',6.270881175994873,4.874284744262695, 7.667477607727051,1.9750856149175162,'2', '3',1.1882647275924683,1.9083795547485352, 0.46814996004104614,1.0183961128832195,'4', '3',1.2936913967132568,1.28610098361969, 1.3012818098068237,0.010734465140936624,11.0, 30.0
30MonoWAV/30MonoS1.wav,1,1,3,9,2.0,'2', '2',8.142454147338867,9.401450157165527, 6.883457183837891,1.7804899064201773,'3', '3',2.9851791858673096,4.3018670082092285, 1.668491244316101,1.8620778600611372,'1', '2',1.7857905626296997,2.319300413131714, 1.2522807121276855,0.7544968662395909,3.0, 19.0
30MonoWAV/30MonoS2.wav,1,1,3,10,2.0,'2', '2',3.3562259674072266,3.543074369430542, 3.169377565383911,0.26424354424911317,'3', '3',2.1960549354553223,2.706226110458374, 1.6858835220336914,0.7214911634085472,'2', '2',2.4017446041107178,3.1686367988586426, 1.634852409362793,1.0845493426905841,15.0, 27.0
30MonoWAV/30MonoS3.wav,1,1,3,11,2.0,'2', '2',4.484386920928955,5.466307640075684, 3.5024664402008057,1.3886454296050625,'3', '3',2.033841133117676,2.1839888095855713, 1.8836934566497803,0.21234088041970545,'2', '2',1.0767574310302734,1.984826683998108, 0.1686880886554718,1.2842039163413907,14.0, 24.0
30MonoWAV/30MonoS4.wav,1,1,3,12,2.0,'1', '2',4.353512287139893,4.934270858764648, 3.7727534770965576,0.8213168170435676,'3', '4',2.059661388397217,2.0354158878326416, 2.083906650543213,0.03428814713796719,'2', '2',3.5924782752990723,1.4996192455291748, 5.685337066650391,2.9597494554481973,8.0, 16.0
30MonoWAV/30MonoT1.wav,2,1,4,13,2.0,'2', '2',5.717096328735352,5.533216953277588, 5.900976181030273,0.26004504378807053,'3', '2',2.2017931938171387,3.5349764823913574, 0.8686100840568542,1.8854057613902828,'2', '2',1.3021292686462402,2.1355483531951904, 0.46871018409729004,1.1786325725096947,1.0, 25.0
30MonoWAV/30MonoT2.wav,2,1,4,14,2.0,'4', '3',4.483869552612305,4.660467624664307, 4.307271480560303,0.2497473885848822,'4', '4',1.8340835571289062,2.234414577484131, 1.4337525367736816,0.5661535584250182,'4', '3',1.7358219623565674,1.2855786085128784, 2.186065435409546,0.6367403416677959,2.0, 18.0
