song,valence,arousal,affectcat,songmark,n,arousalkey.keys_raw,,arousalkey.rt_mean,arousalkey.rt_raw,,arousalkey.rt_std,likekey.keys_raw,,likekey.rt_mean,likekey.rt_raw,,likekey.rt_std,valencekey.keys_raw,,valencekey.rt_mean,valencekey.rt_raw,,valencekey.rt_std,order,
30MonoWAV/30MonoF1.wav,1,2,2,1,2.0,'4', '3',3.670959949493408,3.6178197860717773, 3.724100351333618,0.07515170840517617,'1', '1',1.1019266843795776,0.9354986548423767, 1.2683546543121338,0.23536473438369487,'1', '1',1.0091094970703125,0.8849968910217285, 1.133222222328186,0.17552181502909378,14.0, 21.0
30MonoWAV/30MonoF2.wav,1,2,2,2,2.0,'3', '1',5.071990013122559,5.625380516052246, 4.518599510192871,0.7826123545316321,'1', '1',0.6764698624610901,1.034852147102356, 0.3180875778198242,0.5068290874539332,'1', '1',1.0272016525268555,1.0362415313720703, 1.0181617736816406,0.012784319265112466,12.0, 19.0
30MonoWAV/30MonoF3.wav,1,2,2,3,2.0,'3', '3',4.576659679412842,5.2515363693237305, 3.901782751083374,0.9544199363888495,'1', '1',1.7010281085968018,2.334927558898926, 1.0671285390853882,0.8964692840918146,'1', '1',2.326267957687378,3.7343647480010986, 0.9181713461875916,1.9913494515551466,0.0, 18.0
30MonoWAV/30MonoF4.wav,1,2,2,4,2.0,'4', '3',3.312854290008545,3.789731025695801, 2.83597731590271,0.6744057157765421,'1', '2',2.1528258323669434,2.5539867877960205, 1.7516647577285767,0.5673273481560529,'2', '2',1.5864607095718384,1.9713726043701172, 1.2015488147735596,0.5443476219424519,7.0, 28.0
30MonoWAV/30MonoH1.wav,2,2,1,5,2.0,'3', '4',3.0038018226623535,3.272557020187378, 2.735046863555908,0.38007707671079294,'4', '4',1.8043420314788818,2.207024335861206, 1.4016597270965576,0.5694787761851338,'3', '4',1.9949395656585693,1.7540059089660645, 2.235873222351074,0.3407316449266837,5.0, 30.0
30MonoWAV/30MonoH2.wav,2,2,1,6,2.0,'5', '3',3.1682934761047363,2.8841629028320312, 3.4524242877960205,0.40182147879453134,'4', '3',2.4846160411834717,3.317831516265869, 1.6514004468917847,1.1783447095343682,'4', '3',2.809920072555542,4.451575756072998, 1.1682645082473755,2.3216516480835647,1.0, 27.0
30MonoWAV/30MonoH3.wav,2,2,1,7,2.0,'4', '4',3.6713483333587646,3.007291793823242, 4.335404872894287,0.9391177643936813,'3', '3',1.6281418800354004,2.0544676780700684, 1.2018159627914429,0.6029158098638634,'4', '3',2.1438028812408447,2.605109453201294, 1.682496190071106,0.6523860947720099,15.0, 20.0
30MonoWAV/30MonoH4.wav,2,2,1,8,2.0,'5', '5',2.3601484298706055,2.3680408000946045, 2.3522558212280273,0.011161665598716229,'5', '5',1.5592975616455078,1.3837255239486694, 1.7348695993423462,0.24829635688434915,'5', '5',1.4016270637512207,1.3350237607955933, 1.4682304859161377,0.09419137863242713,2.0, 22.0
30MonoWAV/30MonoS1.wav,1,1,3,9,2.0,'2', '2',3.652597665786743,4.7353596687316895, 2.569835662841797,1.5312567093870002,'4', '3',1.8265008926391602,1.9018245935440063, 1.751177191734314,0.10652379938776806,'1', '1',1.176424503326416,1.6514114141464233, 0.7014376521110535,0.671732889084507,9.0, 24.0
30MonoWAV/30MonoS2.wav,1,1,3,10,2.0,'1', '1',3.402477741241455,3.8361129760742188, 2.9688422679901123,0.6132529988107536,'3', '3',2.1845343112945557,2.8014132976531982, 1.5676554441452026,0.872398544557667,'1', '1',1.309455394744873,2.067298173904419, 0.5516127347946167,1.0717514521402545,8.0, 25.0
30MonoWAV/30MonoS3.wav,1,1,3,11,2.0,'2', '2',4.771051406860352,4.6181206703186035, 4.923982620239258,0.2162770588960977,'1', '2',3.9564874172210693,4.423691272735596, 3.489283561706543,0.6607260288616432,'1', '1',2.5008816719055176,3.5982887744903564, 1.4034745693206787,1.5519680079200417,4.0, 17.0
30MonoWAV/30MonoS4.wav,1,1,3,12,2.0,'1', '1',3.3521480560302734,3.5357718467712402, 3.1685245037078857,0.2596830866528951,'3', '2',2.5851662158966064,3.501573324203491, 1.6687592267990112,1.295995276929012,'1', '1',1.3515264987945557,0.9513394236564636, 1.751713514328003,0.5659499469998637,6.0, 29.0
30MonoWAV/30MonoT1.wav,2,1,4,13,2.0,'2', '2',4.9287261962890625,6.1011786460876465, 3.7562732696533203,1.6580984929175402,'2', '5',4.069129943847656,6.067789077758789, 2.0704705715179443,2.826531022325387,'2', '5',2.135357618331909,2.767183303833008, 1.5035319328308105,0.8935364534913316,11.0, 16.0
30MonoWAV/30MonoT2.wav,2,1,4,14,2.0,'3', '1',2.838721752166748,3.1417124271392822, 2.5357308387756348,0.42849369040616336,'3', '5',2.301618814468384,3.1521029472351074, 1.4511346817016602,1.2027661951418207,'2', '5',1.359583854675293,1.6846116781234741, 1.0345561504364014,0.45965867177533637,10.0, 23.0
30MonoWAV/30MonoT3.wav,2,1,4,15,2.0,'2', '1',2.9443540573120117,3.4674742221832275, 2.421233654022217,0.7398038004991362,'4', '3',2.103843927383423,2.351512908935547, 1.8561749458312988,0.3502568326901457,'4', '3',1.5860211849212646,1.6513619422912598, 1.5206804275512695,0.09240578524837686,13.0, 31.0
30MonoWAV/30MonoT4.wav,2,1,4,16,2.0,'3', '3',4.670808792114258,6.773176193237305, 2.568441390991211,2.97319649175929,'3', '3',2.079805612564087,2.624760866165161, 1.5348503589630127,0.7706831105291087,'4', '4',2.3541529178619385,3.6561970710754395, 1.052108883857727,1.8413684159894301,3.0, 26.0

extraInfo
participant,016
session,001
date,2019_May_09_1515
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.90066708314032
