song,valence,arousal,affectcat,songmark,n,arousalkey.keys_raw,,arousalkey.rt_mean,arousalkey.rt_raw,,arousalkey.rt_std,likekey.keys_raw,,likekey.rt_mean,likekey.rt_raw,,likekey.rt_std,valencekey.keys_raw,,valencekey.rt_mean,valencekey.rt_raw,,valencekey.rt_std,order,
30MonoWAV/30MonoF1.wav,1,2,2,1,2.0,'4', '4',3.2848877906799316,3.6685280799865723, 2.90124773979187,0.5425491316228213,'2', '1',3.4194655418395996,3.4032068252563477, 3.4357244968414307,0.022993466086827345,'1', '1',3.035513162612915,3.7517144680023193, 2.3193118572235107,1.0128615994710104,11.0, 20.0
30MonoWAV/30MonoF2.wav,1,2,2,2,2.0,'3', '4',4.98395299911499,5.599684238433838, 4.368221759796143,0.8707754694215083,'1', '1',2.2934255599975586,3.0177276134490967, 1.5691232681274414,1.0243179558332556,'3', '1',1.4940053224563599,1.0533854961395264, 1.9346251487731934,0.6231305342277436,6.0, 31.0
30MonoWAV/30MonoF3.wav,1,2,2,3,2.0,'3', '3',2.9683709144592285,3.218428611755371, 2.718312978744507,0.3536351554794251,'4', '3',2.419206142425537,3.0359976291656494, 1.8024146556854248,0.8722748857041319,'2', '2',2.6607236862182617,2.002014398574829, 3.3194329738616943,0.9315556082464627,15.0, 28.0
30MonoWAV/30MonoF4.wav,1,2,2,4,2.0,'3', '4',3.3762712478637695,3.9834725856781006, 2.7690699100494385,0.8587123670281143,'1', '2',1.836033821105957,2.102776527404785, 1.5692909955978394,0.3772312372056124,'1', '1',3.1693665981292725,2.7524726390838623, 3.5862605571746826,0.5895770909534327,5.0, 21.0
30MonoWAV/30MonoH1.wav,2,2,1,5,2.0,'2', '3',3.838789224624634,4.519269943237305, 3.158308506011963,0.9623450611954291,'1', '2',3.2854652404785156,4.268950462341309, 2.3019797801971436,1.3908583077392784,'2', '3',4.349806785583496,5.686964988708496, 3.012648105621338,1.8910276030726312,1.0, 17.0
30MonoWAV/30MonoH2.wav,2,2,1,6,2.0,'2', '4',3.577061653137207,4.002686500549316, 3.1514370441436768,0.6019242631058138,'2', '3',2.1517653465270996,2.301751136779785, 2.001779317855835,0.21211210732605532,'2', '3',4.034073352813721,3.618168592453003, 4.449977874755859,0.5881779841702893,8.0, 16.0
30MonoWAV/30MonoH3.wav,2,2,1,7,2.0,'4', '4',3.0023043155670166,3.4672067165374756, 2.5374019145965576,0.6574712806322379,'3', '3',3.618948459625244,5.2521891593933105, 1.9857079982757568,2.309750979644336,'4', '4',3.9110310077667236,6.519245624542236, 1.3028165102005005,3.688572400329979,7.0, 26.0
30MonoWAV/30MonoH4.wav,2,2,1,8,2.0,'4', '4',2.7187557220458984,2.735427141189575, 2.7020843029022217,0.023576947056994122,'3', '4',2.2937631607055664,2.568073034286499, 2.019453287124634,0.3879327435110041,'4', '4',2.983769416809082,3.10188889503479, 2.865649938583374,0.16704616808722977,10.0, 24.0
30MonoWAV/30MonoS1.wav,1,1,3,9,2.0,'2', '2',4.001602649688721,4.9336371421813965, 3.069567918777466,1.3180959884700716,'4', '2',2.293708562850952,2.8019657135009766, 1.7854512929916382,0.7187842399160718,'1', '2',2.6280665397644043,2.2192559242248535, 3.036877155303955,0.5781455169381259,3.0, 22.0
30MonoWAV/30MonoS2.wav,1,1,3,10,2.0,'1', '1',3.968648910522461,3.1854591369628906, 4.751838684082031,1.1075975996798577,'3', '3',1.9767427444458008,1.884642243385315, 2.068843126296997,0.13024969340742695,'1', '2',2.992912769317627,3.535917282104492, 2.449908494949341,0.7679241778256041,13.0, 19.0
