song	valence	arousal
30MonoOGG/30MonoF1.ogg	1	2
30MonoOGG/30MonoF2.ogg	1	2
30MonoOGG/30MonoF3.ogg	1	2
30MonoOGG/30MonoF4.ogg	1	2
30MonoOGG/30MonoH1.ogg	2	2
30MonoOGG/30MonoH2.ogg	2	2
30MonoOGG/30MonoH3.ogg	2	2
30MonoOGG/30MonoH4.ogg	2	2
30MonoOGG/30MonoS1.ogg	1	1
30MonoOGG/30MonoS2.ogg	1	1
30MonoOGG/30MonoS3.ogg	1	1
30MonoOGG/30MonoS4.ogg	1	1
30MonoOGG/30MonoT1.ogg	2	1
30MonoOGG/30MonoT2.ogg	2	1
30MonoOGG/30MonoT3.ogg	2	1
30MonoOGG/30MonoT4.ogg	2	1
